Elan tier,Variable full name,Controlled vocabulary,Protocol section (more details),,,,,,,,,,,,,,,,,,,,,,
Com_number,Communication number,free text,2.1,,,,,,,,,,,,,,,,,,,,,,
C_Clip_name,Clip name,free text,2.2,,,,,,,,,,,,,,,,,,,,,,
C_Signaller,Signaller,Individuals,2.3,,,,,,,,,,,,,,,,,,,,,,
C_Recipient,Recipient,Individuals,2.4,,,,,,,,,,,,,,,,,,,,,,
C_Sgn_prior_context,Signaller prior context,Context_com,2.5,,,,,,,,,,,,,,,,,,,,,,
C_Rcp_prior_context,Recipient prior context,Context_com,2.6,,,,,,,,,,,,,,,,,,,,,,
C_Directed_to,Directed to,Signal_directed,2.7,,,,,,,,,,,,,,,,,,,,,,
C_Goal,Goal,Goal,2.8,,,,,,,,,,,,,,,,,,,,,,
C_Sgn_post_context,Signaller post context,Context_com,2.9,,,,,,,,,,,,,,,,,,,,,,
C_Rcp_post_context,Recipient post context,Context_com,2.1,,,,,,,,,,,,,,,,,,,,,,
C_Comment,Communication comment,free text,2.11,,,,,,,,,,,,,,,,,,,,,,
Exchange_part,Exchange part,Series_numbers,2.12,,,,,,,,,,,,,,,,,,,,,,
G_rcp,Gesture recipient,Gesture_action,2.13,,,,,,,,,,,,,,,,,,,,,,
Voc_rcp,Vocalisation recipient,Vocalisation,2.14,,,,,,,,,,,,,,,,,,,,,,
FE_rcp,Facial expression recipient,Facial_expression,2.15,,,,,,,,,,,,,,,,,,,,,,
Outcome,Outcome of the communication,Outcome,2.16,,,,,,,,,,,,,,,,,,,,,,
BhvCh1,Behavioural Change 1,BhvCh,2.17,,,,,,,,,,,,,,,,,,,,,,
BhvCh2,Behavioural Change 2,BhvCh,2.18,,,,,,,,,,,,,,,,,,,,,,
Vocalisation_record,Vocalisation record,Vocalisation,2.19,,,,,,,,,,,,,,,,,,,,,,
Facial_expression_record,Facial expression record,Facial_expression,2.2,,,,,,,,,,,,,,,,,,,,,,
Gesture_record1,Gesture action signaller,Gesture_action,2.21,,,,,,,,,,,,,,,,,,,,,,
G1_Rec_number,Record number,free text,2.22,,,,,,,,,,,,,,,,,,,,,,
G1_Sequence_part,Part of sequence,Series_numbers,2.23,,,,,,,,,,,,,,,,,,,,,,
G1_Rep_count,Repetition count,free text,2.24,,,,,,,,,,,,,,,,,,,,,,
G1_MAU_duration,Minimum action unit and gesture action duration,MAU_GA_selection,2.25,,,,,,,,,,,,,,,,,,,,,,
G1_Body_sgn,Body part signaller,Body_part,2.26,,,,,,,,,,,,,,,,,,,,,,
G1_Sgn_lat,Signaller laterality,Laterality,2.27,,,,,,,,,,,,,,,,,,,,,,
G1_Lat_bim,Laterality bimanual gestures,Bimanual_lat,2.28,,,,,,,,,,,,,,,,,,,,,,
G1_Body_con,Body part contact,Body_part,2.29,,,,,,,,,,,,,,,,,,,,,,
G1_Con_lat,Contact laterality,Laterality,2.3,,,,,,,,,,,,,,,,,,,,,,
G1_Object_contact,Object contact,Object,2.31,,,,,,,,,,,,,,,,,,,,,,
G1_with_Object,Object used,Object,2.32,,,,,,,,,,,,,,,,,,,,,,
G1_Audible,Audible information,Yes_No_Unk,2.33,,,,,,,,,,,,,,,,,,,,,,
G1_Direct_G,Directionality of gesture,Directionality_gesture,2.34,,,,,,,,,,,,,,,,,,,,,,
G1_Emphasis,Emphasis,Emphasis,2.35,,,,,,,,,,,,,,,,,,,,,,
G1_Flexion,Flexion,Flexion,2.36,,,,,,,,,,,,,,,,,,,,,,
G1_Orientation,Orientation,Orientation,2.37,,,,,,,,,,,,,,,,,,,,,,
G1_Sgn_Voc,Signaller vocalisation,Vocalisation,2.38,,,,,,,,,,,,,,,,,,,,,,
G1_Sgn_FE,Signaller facial expression,Facial_expression,2.39,,,,,,,,,,,,,,,,,,,,,,
G1_Distance_rcp,Distance to recipient,Distance_recipient,2.4,,,,,,,,,,,,,,,,,,,,,,
G1_Rcp_VA,Recipient visual attention,Visual_attention,2.41,,,,,,,,,,,,,,,,,,,,,,
