Rec_number,LatencyGA.goal,Species,LatencyMAU.goal,Social_unit
300037,0,EAC,0,Waibira
301016,0,EAC,0,Waibira
300521,-1.28,EAC,-1.28,Waibira
301211,0,EAC,1.98,Waibira
300013,0.03,EAC,0.03,Waibira
300083,0,EAC,0.66,Waibira
300074,0,EAC,1.44,Waibira
301365,1,EAC,1.47,Waibira
301555,0,EAC,0.14,Waibira
301010,0,EAC,0.81,Waibira
300368,0,EAC,0.2,Waibira
301014,0.29,EAC,0.29,Waibira
300046,0,EAC,2.22,Waibira
300421,0,EAC,7.16,Waibira
300229,0,EAC,0.96,Waibira
301584,0,EAC,0,Waibira
300225,0,EAC,0.3,Waibira
301225,0,EAC,0,Waibira
300414,0,EAC,2.22,Waibira
301551,0,EAC,0.66,Waibira
300424,0,EAC,0.21,Waibira
301469,0,EAC,0,Waibira
301053,0.17,EAC,0.87,Waibira
300245,0,EAC,3.9,Waibira
300172,0,EAC,0.86,Waibira
300408,0,EAC,0.78,Waibira
301593,0,EAC,1.81,Waibira
301214,0,EAC,1.19,Waibira
300203,0,EAC,2.81,Waibira
301538,0,EAC,1.09,Waibira
301314,0,EAC,0,Waibira
300316,-0.31,EAC,-0.31,Waibira
301113,0.01,EAC,0.88,Waibira
300166,0,EAC,0.55,Waibira
300369,0,EAC,0,Waibira
300211,0,EAC,0.27,Waibira
301317,0,EAC,3.32,Waibira
300212,0,EAC,0.28,Waibira
301187,0,EAC,1.09,Waibira
301596,0,EAC,2.9,Waibira
301553,0,EAC,0,Waibira
301120,0,EAC,0,Waibira
301209,0,EAC,0,Waibira
300061,-0.6,EAC,-0.6,Waibira
301248,0,EAC,0.23,Waibira
300075,0,EAC,0.88,Waibira
300060,0,EAC,1.82,Waibira
300029,0,EAC,3.06,Waibira
300269,0,EAC,0.94,Waibira
300346,0,EAC,4.89,Waibira
301779,0,EAC,0.54,Waibira
300345,-0.24,EAC,-0.24,Waibira
300084,0,EAC,1.42,Waibira
301311,-0.45,EAC,-0.45,Waibira
300508,-0.05,EAC,1.14,Waibira
301531,0,EAC,3.2,Waibira
300560,0,EAC,0.29,Waibira
300077,-0.79,EAC,-0.79,Waibira
301226,0,EAC,0,Waibira
301164,0,EAC,0,Waibira
300079,-0.89,EAC,-0.89,Waibira
301191,-0.67,EAC,-0.67,Waibira
300076,-1.51,EAC,-1.51,Waibira
101811,-0.04,EAC,1.24,Sonso
101614,0,EAC,0.84,Sonso
104046,0,EAC,0.96,Sonso
102747,0,EAC,4.72,Sonso
104490,0,EAC,1.92,Sonso
103116,0,EAC,3.84,Sonso
100213,0.16,EAC,1.12,Sonso
104085,0,EAC,0.44,Sonso
102752,0,EAC,2.28,Sonso
104769,0,EAC,1.28,Sonso
104426,0,EAC,2.12,Sonso
103454,0,EAC,2,Sonso
103439,0,EAC,0,Sonso
104350,0,EAC,4.64,Sonso
104563,0,EAC,1.2,Sonso
104889,0,EAC,0.64,Sonso
103438,0,EAC,0,Sonso
101835,-0.04,EAC,1,Sonso
100881,0,EAC,0.6,Sonso
100380,-0.36,EAC,1.2,Sonso
104383,0,EAC,0,Sonso
101843,0,EAC,0.72,Sonso
104409,0,EAC,1.52,Sonso
104000,0,EAC,1.72,Sonso
104885,0,EAC,1.2,Sonso
103037,0,EAC,0.76,Sonso
104883,0,EAC,0.76,Sonso
100526,0.04,EAC,0.84,Sonso
103091,0,EAC,0.28,Sonso
102746,0,EAC,0.8,Sonso
102546,0,EAC,0.92,Sonso
103440,0,EAC,1.28,Sonso
103123,0,EAC,2.76,Sonso
103841,0,EAC,1.08,Sonso
101615,0.04,EAC,1.24,Sonso
104491,0,EAC,1.64,Sonso
104555,0,EAC,1.88,Sonso
104257,0,EAC,1.6,Sonso
104481,0,EAC,1,Sonso
101594,0,EAC,5.28,Sonso
103118,0.56,EAC,11.04,Sonso
104326,0,EAC,4.84,Sonso
104884,0,EAC,1.76,Sonso
103104,0,EAC,3.24,Sonso
104221,0,EAC,0.16,Sonso
103036,0,EAC,0.68,Sonso
103088,0,EAC,0.96,Sonso
101833,-0.04,EAC,0.88,Sonso
104764,0,EAC,0.76,Sonso
