Rec_number,Com_number,Clip_name,MAU_end_T,GA_end_T,Outcome_T,Gesture_record,Coder,MAU_value,GA_value,G_start_T,G_end_T
R200014,C200008,Bwindi CG 2019-12-02 RR Clip 14,607.839,612.22,612.213,Prs_dir,CH,MAU_in,GA_stop_in,605.169,612.22
R200018,C200012,Bwindi CG 2019-12-02 RR Clip 17,147.156,149.809,149.806,Prs_dir,CH,MAU_in,GA_stop_in,143,149.809
R200252,C200119,Bwindi CG 2019-12-16 MK Clip 04,474.155,478.332,489.072,Lean_in,CH,MAU_in,GA_stop_in,473.24,480.25
R200396,C200181,Bwindi CG 2020-01-06 MK Clip 26,7.691,8.24,8.236,Pull,CH,MAU_in,GA_stop_in,6.526,8.24
R200428,C200199,Bwindi CG 2020-01-06 MK Clip 27,73.887,73.887,74.937,Hit_rcp_sft,CH,MAU_in,GA_stop_in,73.039,74.94
R200441,C200205,Bwindi CG 2020-01-06 MK Clip 27,277.59,278.886,279.093,Push_dir,CH,MAU_in,GA_stop_in,277.171,279.075
R200480,C200231,Bwindi CG 2020-01-07 MK Clip 11,371.334,372.66,372.666,Prs_dir,CH,MAU_in,GA_stop_in,369.4,372.666
R200517,C200247,Bwindi CG 2020-01-07 MK Clip 25,282.067,284.68,284.72,Prs_dir,CH,MAU_in,GA_stop_in,277.368,284.686
R200521,C200250,Bwindi CG 2020-01-07 MK Clip 27,139.703,140.793,141.663,Push_dir,CH,MAU_in,GA_stop_in,138.813,141.213
R200525,C200254,Bwindi CG 2020-01-07 MK Clip 27,589.771,595.64,595.679,Prs_dir,CH,MAU_in,GA_stop_in,585.383,595.64
R200543,C200261,Bwindi CG 2020-01-17 RR Clip 12,53.975,58.322,58.322,Prs_dir,CH,MAU_in,GA_stop_in,51.675,58.322
R200563,C200270,Bwindi CG 2020-01-17 RR Clip 18,312.561,314.04,314.04,Prs_dir,CH,MAU_in,GA_stop_in,309.483,314.04
R200691,C200317,Bwindi CG 2020-01-14 MK Clip 45,59.22,59.571,61.037,Push,CH,MAU_in,GA_stop_in,58.808,63.4
R200770,C200332,Bwindi CG 2019-12-15 MK Clip 10,595.349,596.562,603.983,Tch_objgd,CH,MAU_in,GA_stop_in,593.1,597.093
R200984,C200418,Bwindi CG 2020-02-05 BT Clip 11,80.977,81.363,81.869,Push_dir,CH,MAU_in,GA_stop_in,80.521,81.56
R200993,C200433,Bwindi CG 2020-02-08 RR Clip 11,46.65,49.96,49.96,Prs_dir,CH,MAU_in,GA_stop_in,44.575,49.96
R201254,C200519,Bwindi CG 2020-03-07 RR Clip 07,99.229,102.96,102.96,Prs_dir,CH,MAU_in,GA_stop_in,96.28,102.96
R201281,C200565,Bwindi CG 2020-01-30 MK Clip 11,626.289,627.356,627.552,Push_dir,CH,MAU_in,GA_stop_in,625.72,627.8
R201445,C201713,Bwindi CG 2021-08-10 MK Clip 15,107.134,108.066,108.066,Prs_dir,CH,MAU_in,GA_stop_in,103.706,108.066
R201608,C200859,Bwindi CG 2020-03-09 MK Clip 03,209.96,209.96,211.76,Lunge,CH,MAU_in,GA_stop_in,209.378,210.658
R201637,C200877,Bwindi CG 2020-03-09 MK Clip 18,108.348,108.893,111.813,Push,CH,MAU_in,GA_stop_in,108,109.73
R201718,C200927,Bwindi CG 2021-07-01 MK Clip 13,291.72,326.2,326.2,Prs,CH,MAU_in,GA_stop_in,288.8,326.2
R201796,C200963,Bwindi CG 2021-07-04 MK Clip 03,3.338,4.403,6.597,Bite,CH,MAU_in,GA_stop_in,2.14,4.987
R201813,C200976,Bwindi CG 2021-07-06 MK Clip 05,39.34,39.34,43.037,Grab,CH,MAU_in,GA_stop_in,38.72,39.593
R202140,C201111,Bwindi CG 2022-01-28 MK Clip 16,253.84,260.38,260.38,Prs_dir,CH,MAU_in,GA_stop_in,247.5,260.38
R202156,C201119,Bwindi CG 2022-01-28 MK Clip 27,157.85,162.8,162.8,Prs_dir,CH,MAU_in,GA_stop_in,154.9,162.8
R202500,C201503,Bwindi CG 2021-07-02 MK Clip 17,38.072,38.072,42.583,Lunge,CH,MAU_in,GA_stop_in,36.6,40.2
R202579,C201556,Bwindi CG 2021-07-15 MK Clip 10,265.293,265.666,265.666,Prs_dir,CH,MAU_in,GA_stop_in,261,265.666
R202659,C201613,Bwindi CG 2021-07-27 BT Clip 07,308.16,312.72,312.72,Prs_dir,CH,MAU_in,GA_stop_in,303.155,312.72
R202845,C201716,Bwindi CG 2021-08-12 MK Clip 03,16.076,21.56,21.56,Prs_dir,CH,MAU_in,GA_stop_in,13.1,21.56
R202887,C201757,Bwindi CG 2021-08-13 MK Clip 34,508.863,510.773,510.773,Pull_dir,CH,MAU_in,GA_stop_in,507.4,510.773
R202936,C201798,Bwindi CG 2021-08-17 MK Clip 04,52.681,54.844,54.844,Loc_stiff_walk,CH,MAU_in,GA_stop_in,51.2,55.586
R202943,C201808,Bwindi CG 2021-08-18 RR Clip 05,1127.377,1131.12,1131.12,Prs_dir,CH,MAU_in,GA_stop_in,1123.12,1131.12
R202953,C201819,Bwindi CG 2021-08-22 BT Clip 09,39.42,40.346,50.189,Push_dir,CH,MAU_in,GA_stop_in,38.72,40.76
R203046,C201886,Bwindi CG 2021-08-29 BT Clip 10,186.261,186.261,186.261,Prs_dir,CH,MAU_in,GA_stop_in,180.2,186.261
R203150,C201946,Bwindi CG 2019-08-06 BT Clip 44,40,84.4,84.3,Prs_dir,CH,MAU_in,GA_stop_in,36.4,84.4
R203168,C201969,Bwindi CG 2019-08-09 BT Clip 15,46.014,47.544,49.738,Tch,CH,MAU_in,GA_stop_in,44.98,47.873
R203178,C201990,Bwindi CG 2019-08-13 MK Clip 01,81.4,82.085,82.972,Tch,CH,MAU_in,GA_stop_in,80.56,82.18
R203207,C202026,Bwindi CG 2019-08-21 RR Clip 20,17.96,25.04,25,Prs_dir,CH,MAU_in,GA_stop_in,13.72,25.06
R203242,C202062,Bwindi CG 2019-08-25 MK Clip 35,272.541,273.31,276.141,Stiff_stance,CH,MAU_in,GA_stop_in,269,273.31
