Rec_number,Com_number,Clip_name,G_start_T,MAU_end_T,MAU_value,GA_value,GA_end_T,G_end_T,Outcome_T,Gesture_record,Coder
301003,300520,Budongo WS 2018-01-27 Clip 107,12.617,13.545,MAU_in,GA_stop_in,14.72,14.72,14.72,Prs_dir,CG
301038,300544a,Budongo WS 2018-06-20 Clip 03,14.060,15.32,MAU_in,GA_stop_in,18.04,18.04,18.04,Prs_dir,CG
300046,300030,Budongo WS GB 2019-12-13 Clip 47,19.906,21.900,MAU_in,GA_stop_in,25.620,25.620,25.620,Prs_dir,CG
300048,300031,Budongo WS GB 2019-12-13 Clip 52,23.939,24.906,MAU_in,GA_stop_in,26.229,26.653,27.521,Bg_ld_scr,CG
300054,300036,Budongo WS GB 2019-12-14 Clip 1,52.200,52.930,MAU_in,GA_stop_in,53.308,53.46,53.720,Pull_dir,CG
300061,300042,Budongo WS GB 2019-12-14 Clip 24,34.134,36.936,MAU_in,GA_stop_in,37.133,37.133,37.133,Prs_dir,CG
300064,300044,Budongo WS GB 2019-12-18 Clip 1,27.028,29.500,MAU_in,GA_stop_in,31.780,31.78,31.78,Prs_dir,CG
300100,300068b,Budongo WS GB 2019-12-31 Clip 11,120.865,121.711,MAU_in,GA_stop_in,122.270,122.533,123.591,Raise,CG
300172,300098,Budongo WS GB 2020-01-06 Clip 52,66.474,68.760,MAU_in,GA_stop_in,69.970,69.970,69.970,Prs_dir,CG
301186,300103,Budongo WS GB 2020-01-06 Clip 58,33.964,34.860,MAU_in,GA_stop_in,36.397,36.580,36.590,Bg_ld_scr,CG
300211,300120,Budongo WS GB 2020-01-15 Clip 26,161.090,164.947,MAU_in,GA_stop_in,165.300,165.300,165.300,Prs_dir,CG
300214,300122a,Budongo WS GB 2020-01-15 Clip 26,495.901,496.950,MAU_in,GA_stop_in,500.928,501.010,502.200,Bg_ld_scr,CG
300269,300145,Budongo WS GB 2020-01-18 Clip 21,4.064,5.032,MAU_in,GA_stop_in,6.120,6.120,6.120,Prs_dir,CG
300324,300168,Budongo WS GB 2020-01-24 Clip 30,0.877,1.564,MAU_in,GA_stop_in,1.564,1.917,2.012,Hit_objgd,CG
300570,300289,Budongo WS GB 2020-02-18 Clip 69,29.576,31.110,MAU_in,GA_stop_in,31.605,31.660,32.300,Dangle,CG
301217,300620b,Budongo WS GB 2021-11-24 Clip 04,4.603,5.920,MAU_in,GA_stop_in,6.540,7.240,6.220,Prs_gn_bwd,CG
301231,300631,Budongo WS GB 2021-11-25 Clip 12,8.794,9.460,MAU_in,GA_stop_in,11.206,11.510,12.825,Bg_ld_scr,CG
301481,300712,Budongo WS GB 2022-01-03 Clip 09,28.220,29.240,MAU_in,GA_stop_in,30.680,31.160,32.267,Bg_ld_scr,CG
301523,300735,Budongo WS GB 2022-01-28 Clip 29,69.443,70.337,MAU_in,GA_stop_in,72.106,72.106,72.106,Prs_gn_fwd,CG
301692,300825,Budongo WS GB 2022-03-07 Clip 05,61.933,62.555,MAU_in,GA_stop_in,62.793,62.985,72.920,Obj_mv_att,CG
