Rec_number,Com_number,Clip_name,G_start_T,MAU_end_T,MAU_value,GA_value,GA_end_T,G_end_T,Outcome_T,Gesture_record,Coder
301003,300520,Budongo WS 2018-01-27 Clip 107,12.617,13.640,MAU_in,GA_stop_in,14.737,14.737,14.737,Prs_dir,GB
301038,300544a,Budongo WS 2018-06-20 Clip 03,14.060,15.578,MAU_in,GA_stop_in,18.02,18.02,18.02,Prs_dir,GB
300046,300030,Budongo WS GB 2019-12-13 Clip 47,19.906,23.407,MAU_in,GA_stop_in,25.630,25.630,25.630,Prs_dir,GB
300048,300031,Budongo WS GB 2019-12-13 Clip 52,23.939,25.514,MAU_in,GA_stop_in,26.763,27.333,27.461,Bg_ld_scr,GB
300054,300036,Budongo WS GB 2019-12-14 Clip 1,52.200,52.879,MAU_in,GA_stop_in,53.328,53.661,53.461,Pull_dir,GB
300061,300042,Budongo WS GB 2019-12-14 Clip 24,34.134,37.714,MAU_in,GA_stop_in,37.714,37.714,37.118,Prs_dir,GB
300064,300044,Budongo WS GB 2019-12-18 Clip 1,27.028,29.230,MAU_in,GA_stop_in,31.849,31.849,31.849,Prs_dir,GB
300100,300068b,Budongo WS GB 2019-12-31 Clip 11,120.865,121.684,MAU_in,GA_stop_in,121.874,122.429,124.749,Raise,GB
300172,300098,Budongo WS GB 2020-01-06 Clip 52,66.474,69.108,MAU_in,GA_stop_in,69.966,69.966,69.966,Prs_dir,GB
301186,300103,Budongo WS GB 2020-01-06 Clip 58,33.964,35.344,MAU_in,GA_stop_in,36.377,36.561,36.618,Bg_ld_scr,GB
300211,300120,Budongo WS GB 2020-01-15 Clip 26,161.090,164.993,MAU_in,GA_stop_in,165.267,165.267,165.267,Prs_dir,GB
300214,300122a,Budongo WS GB 2020-01-15 Clip 26,495.901,497.635,MAU_in,GA_stop_in,500.942,501.140,502.113,Bg_ld_scr,GB
300269,300145,Budongo WS GB 2020-01-18 Clip 21,4.064,4.907,MAU_in,GA_stop_in,5.850,5.850,5.850,Prs_dir,GB
300324,300168,Budongo WS GB 2020-01-24 Clip 30,0.877,1.456,MAU_in,GA_stop_in,1.456,1.955,2.232,Hit_objgd,GB
300570,300289,Budongo WS GB 2020-02-18 Clip 69,29.576,30.665,MAU_in,GA_stop_in,31.159,31.758,31.974,Dangle,GB
301217,300620b,Budongo WS GB 2021-11-24 Clip 04,4.603,5.923,MAU_in,GA_stop_in,5.923,7.403,5.878,Prs_gn_bwd,GB
301231,300631,Budongo WS GB 2021-11-25 Clip 12,8.794,9.911,MAU_in,GA_stop_in,11.315,11.504,12.716,Bg_ld_scr,GB
301481,300712,Budongo WS GB 2022-01-03 Clip 09,28.220,29.967,MAU_in,GA_stop_in,30.680,31.471,31.314,Bg_ld_scr,GB
301523,300735,Budongo WS GB 2022-01-28 Clip 29,69.443,71.121,MAU_in,GA_stop_in,71.450,71.450,71.450,Prs_gn_fwd,GB
301692,300825,Budongo WS GB 2022-03-07 Clip 05,61.933,62.489,MAU_in,GA_stop_in,62.689,63.327,72.959,Obj_mv_att,GB
